count,sum,sum^2,max,min
1,1.41421,2,1.41421,1.41421
2,1.81108,1.64,0.905539,0.905539
4,3.17543,2.74476,1.03046,0.557254
8,4.32031,2.58457,0.827776,0.381673
16,6.29427,2.85922,0.718052,0.203264
32,9.05383,3.1386,0.642932,0.101775
64,13.0168,3.28348,0.583519,0.0509837
128,18.3589,3.55522,0.531777,0.0275368
256,25.6476,3.6353,0.485107,0.0149349
512,35.9539,3.6773,0.442722,0.00842531
1024,50.4938,3.81656,0.404098,0.00480142
2048,70.2653,3.90106,0.36886,0.00260628
4096,97.9544,3.95083,0.336701,0.00130315
8192,135.464,3.92655,0.307347,0.00139711
16384,188.539,3.99284,0.280552,0.000870307
32768,261.904,4.02849,0.256094,0.000435731
